region,time_slot,budget,request_text
영월군,토요일 오후,10만원 이내,아이유 같은 감성 보컬 공연 보고 싶어요
영월군,토요일 오후,10만원 이내,조용한 발라드 라이브 공연이 있었으면 좋겠어요
영월군,토요일 오후,10만원 이내,어쿠스틱 보컬 공연 열어주세요
영월군,토요일 오후,10만원 이내,잔잔한 분위기의 싱어송라이터 공연을 보고 싶어요
영월군,토요일 오후,10만원 이내,청소년 K-pop 커버댄스 공연 보고 싶어요
영월군,토요일 오후,10만원 이내,아이돌 댄스팀 무대가 있었으면 좋겠어요
영월군,토요일 오후,10만원 이내,걸그룹 커버댄스 공연을 보고 싶어요
영월군,일요일 오후,5만원 이내,아이들과 한지 공예 체험 프로그램이 있었으면 좋겠어요
영월군,일요일 오후,5만원 이내,전통 매듭 만들기 수업을 듣고 싶어요
영월군,일요일 오후,5만원 이내,한복 입고 사진 찍는 전통문화 체험을 하고 싶어요
춘천시,토요일 오전,10만원 이내,아이와 함께 볼 수 있는 가족 뮤지컬이 있었으면 좋겠어요
춘천시,토요일 오전,10만원 이내,어린이도 재미있게 볼 수 있는 공연을 원해요
춘천시,토요일 오전,10만원 이내,가족끼리 즐길 수 있는 뮤지컬 공연이 열리면 좋겠어요
춘천시,평일 오후,5만원 이내,어르신들이 즐길 수 있는 트로트 공연이 있었으면 좋겠어요
춘천시,평일 오후,5만원 이내,흥겨운 트로트 무대가 지역에서 열리면 좋겠어요
원주시,평일 저녁,3만원 이내,독립영화 상영회가 있었으면 좋겠어요
원주시,평일 저녁,3만원 이내,감독과의 대화가 함께 있는 독립영화 상영이 열리면 좋겠어요
원주시,일요일 오후,3만원 이내,작가와 직접 이야기할 수 있는 북토크가 있었으면 좋겠어요
원주시,일요일 오후,3만원 이내,지역 서점에서 작가 강연 같은 프로그램이 열리면 좋겠어요
강릉시,토요일 오후,무료,지역 특색이 살아 있는 축제가 있었으면 좋겠어요
강릉시,토요일 오후,무료,플리마켓이랑 공연이 같이 있는 소규모 축제를 원해요
강릉시,평일 저녁,10만원 이내,소규모 클래식 공연이 있었으면 좋겠어요
강릉시,평일 저녁,10만원 이내,현악 사중주나 피아노 연주회를 보고 싶어요
속초시,금요일 저녁,10만원 이내,재즈 밴드 공연이 있었으면 좋겠어요
속초시,금요일 저녁,10만원 이내,분위기 좋은 라이브 재즈 공연을 보고 싶어요
속초시,토요일 오전,5만원 이내,도자기나 머그컵을 만드는 공예 체험을 하고 싶어요
속초시,토요일 오전,5만원 이내,향초 만들기나 비누 만들기 같은 체험 수업을 원해요
